wallet_address,email,name,product_feedback,rating
GD6FCWOKPAXQFXBHCSKM5MYPF45DMEW2TMN76UHUTRUW3THZV5HWWFLE,rohan.sharma930@gmail.com,Rohan Sharma,"Easy to use, intuitive trading interface.",
GASWZCDMVEGOUWJIBVIRY6UXURRAW6DLNQ6QOBQIIFD7HLA5HWTLOQAM,priya.verma845@gmail.com,Priya Verma,Good testnet experience on Stellar Soroban.,2
GDWBRGMXRAGRSK4MHPRUOSDCRHGK65Z6G3WR63VHQDY2PZAUEWX73UEY,arjun.singh786@gmail.com,Arjun Singh,Nice diversification with SOL market.,2
GADWBJN2K53OFOQO3IOJI2OGT4HKAGKRZPLAPEQHRU2QWE7OUUKUESQZ,,,Fast transactions. Love the Soroban integration.,2
GBE7BKNYA3MIXJSSTZ5IR4FHTSTX5XM5BVWYNP2QPHPPAZFJ3375WUTY,amit.gupta424@gmail.com,Amit Gupta,Stellar integration is seamless. Great work!,
GBR3BU2R6X6GIVJVOL6EWSKVZZY2HQMSIYMDZYSZXGHJI7ZA2NH5RKDG,neha.iyer293@gmail.com,Neha Iyer,Liked betting on BTC milestone. UI was clean and intuitive.,5
GDSATCARZXZZHZ54HLWA33WHSUBODZTAUO7OPKUIAHE4B6DWKKZ5SMXE,karan.joshi718@gmail.com,Karan Joshi,Simple and effective prediction platform.,1
GBN57CCIJUN4HGUQYOBFXU7IMQ7D7R7GXNPIYG434QVL3BGT5VDRQ6BG,ananya.deshmukh920@gmail.com,Ananya Deshmukh,Nice diversification with SOL market.,4
GC7SVVUCMWN7ISOGUPNNBPOCCUN354DDAL3XKNZY4AD2TRQI324GUV6I,,,Decentralized predictions on Stellar — love the idea.,
GAVRLWRSOTHT3YVKOI3FZHM45T25LRBB3WTHLGJZFWYZIHZM2ODSMCUW,deepak.nair832@gmail.com,Deepak Nair,Stellar integration is seamless. Great work!,3
GAA4QGEKJF5KOEIO3M7QZDWAPTLFCXK27JF7BZM2USZ567PU6SKR232R,siddharth.reddy246@gmail.com,Siddharth Reddy,Need more liquidity and market options.,4
GB73EAQ7W2EHR2NTWE52DEXILILH3XTATVRP5MSGTLOEUF6VROAV46IC,vikram.choudhury228@gmail.com,Vikram Choudhury,Trading yes/no on BTC was straightforward and fun.,5
GDH2OTVNX3GBQ63QATSNPZMLBPQQW7UN6UCA4ORUCPLBKFOF6S5YCP6E,rahul.kapoor912@gmail.com,Rahul Kapoor,Would like more market types beyond BTC.,
GC2ZNMALJTN36MOIFTWIA4OWM7CG77NOOBQCICW5NIT5MAWKKT4JD4CP,,,Responsive trading interface. Excited for mainnet launch.,4
GCR7VHM75YY7JOSQJJOPQ5ZIKYTRJRDVPEUTVNAB275R4465ZLHVGAJE,priyanka.malhotra191@gmail.com,Priyanka Malhotra,Perfect for crypto prediction enthusiasts.,5
GAEKZ2F4REQ3EIATZ4Z6CUFME7C4WZSVH4RXJYM4AINOJN62ZBFLP2YF,manish.menon642@gmail.com,Manish Menon,Good first experience with Soroban dApps.,2
GDXHDZQBFFCWXL2VW473TQV5CQH46ORUVXMHXZZJ3D34M2DGIQKVXXKH,aditya.bhatia973@gmail.com,Aditya Bhatia,Settlements were instant. Impressive speed on Soroban.,
GAYRR4RGFUPHCLYHJHMYUJIITEAVB7GF5FZH5I63ZGQMIBXDNTWEDRNC,kavya.sengupta340@gmail.com,Kavya Sengupta,Fast transactions. Love the Soroban integration.,1
GDJXDEEJ2NXQRPIPJZL4SVBXDMLZHABMJNYDQFU6WBYHF6BNCJMSRL7B,rajesh.rao243@gmail.com,Rajesh Rao,Good testnet experience on Stellar Soroban.,4
GBISYIHHLGTKL6M35UBMQHYLP6DLUI4CWH5HE6ZAPMSVMPZTUPZEE62D,sanjay.mehra409@gmail.com,Sanjay Mehra,Responsive trading interface. Excited for mainnet launch.,5
GB7TAXJHHMKYJN433RLGDY4LJZYDY7NZVQG3ONNO76GXWW4QQWMJCGFA,ishita.shetty571@gmail.com,Ishita Shetty,Interesting SOL market. Bullish outcome was spot on.,
GCQJJJPYUV2RE2ZE47U3QMLBKMZ4SUEIPZOMF44QXZJUQFHWG7BY23RH,nisha.krishnan423@gmail.com,Nisha Krishnan,Need more liquidity and market options.,1
